,Building condition,Number of frontages,Living area,Kitchen type,Bedrooms,Bathrooms,Furnished,Surface of the plot,Garden surface,Price,Swimming pool,Neighbourhood or locality,Terrace
3880,As new,4,211  m² square meters,USA hyper equipped,4,2,,1100  m²  square meters,,"€ 625,000  625000 €",,,
3881,To renovate,2,95  m² square meters,,3,1,,,,"€ 130,000  130000 €",,,
3882,To renovate,2,80  m² square meters,,3,1,No,265  m²  square meters,,"€ 250,000  250000 €",,,
3883,As new,2,160  m² square meters,USA hyper equipped,3,1,No,282  m²  square meters,200  m²  square meters,"€ 495,000  495000 €",No,Vlaams-Brabant Noorden,
3884,To renovate,,180  m² square meters,Installed,3,1,,769  m²  square meters,,"€ 240,000  240000 €",,,
3885,Good,4,210  m² square meters,Installed,4,1,No,1715  m²  square meters,,"€ 449,000  449000 €",No,,
3886,To renovate,4,103  m² square meters,Semi equipped,3,1,,,,"€ 250,000  250000 €",,,
3887,As new,3,125  m² square meters,,3,1,,349  m²  square meters,200  m²  square meters,"€ 310,000  310000 €",No,,
3888,As new,2,171  m² square meters,USA hyper equipped,2,2,No,,,"€ 569,000  569000 €",No,2 - BRABANT WALLON,
3889,To renovate,4,470  m² square meters,,4,4,No,6800  m²  square meters,,"€ 1,250,000  1250000 €",Yes,,Yes
3890,To be done up,3,172  m² square meters,Semi equipped,3,1,,,,"€ 425,000  425000 €",,,
3891,To be done up,2,173  m² square meters,Installed,6,1,No,90  m²  square meters,,"€ 545,000  545000 €",,,
3892,Good,4,250  m² square meters,Installed,3,1,No,677  m²  square meters,,"€ 508,000  508000 €",,,Yes
3893,Just renovated,3,250  m² square meters,Not installed,3,2,,657  m²  square meters,420  m²  square meters,"€ 428,500  428500 €",,,
3894,Good,2,231  m² square meters,Hyper equipped,4,2,No,235  m²  square meters,82  m²  square meters,"€ 1,120,000  1120000 €",No,,
3895,Good,,120  m² square meters,Semi equipped,3,1,,196  m²  square meters,,"€ 280,000  280000 €",,,Yes
3896,Good,,295  m² square meters,,9,3,No,100  m²  square meters,,"€ 270,000  270000 €",No,,Yes
3897,As new,3,170  m² square meters,Installed,2,2,,,,"Make an offer starting from  € 239,000  Make an offer starting from  239000 €",,,
3898,,3,152  m² square meters,Installed,3,1,,471  m²  square meters,,"€ 359,000  359000 €",,,
3899,Good,2,183  m² square meters,,4,1,No,200  m²  square meters,,"€ 259,000  259000 €",No,,
3900,Just renovated,2,255  m² square meters,USA hyper equipped,4,1,No,100  m²  square meters,,"€ 585,000  585000 €",No,,
3901,As new,2,143  m² square meters,,3,1,No,215  m²  square meters,,"€ 385,000  385000 €",,Verkaveling Zedelgem Loppemsestraat,
3902,,4,160  m² square meters,Installed,3,3,,3810  m²  square meters,,"€ 540,000  540000 €",Yes,,Yes
3903,,4,490  m² square meters,,3,,,564  m²  square meters,,"€ 395,000  395000 €",,,
3904,,4,200  m² square meters,Hyper equipped,2,1,No,598  m²  square meters,290  m²  square meters,"€ 345,000  345000 €",,Kempen/Limburg,
3905,,4,260  m² square meters,Not installed,3,1,,8363  m²  square meters,878  m²  square meters,"Make an offer starting from  € 550,000  Make an offer starting from  550000 €",No,,
