,Building condition,Number of frontages,Living area,Kitchen type,Bedrooms,Bathrooms,Furnished,Surface of the plot,Garden surface,Price,Swimming pool,Neighbourhood or locality,Terrace
9020,To be done up,2,82  m² square meters,,2,1,No,55  m²  square meters,,"€ 139,000  139000 €",No,,
9021,Good,4,524  m² square meters,Installed,8,5,No,300  m²  square meters,300  m²  square meters,"€ 1,675,000  1675000 €",No,,Yes
9022,Good,2,67  m² square meters,Hyper equipped,1,,No,,,"€ 140,000  140000 €",,,
9023,As new,2,449  m² square meters,USA hyper equipped,6,5,No,450  m²  square meters,280  m²  square meters,"€ 1,650,000  1650000 €",No,,
9024,Good,2,,,3,1,,230  m²  square meters,,"€ 419,000  419000 €",,,Yes
9025,To be done up,3,155  m² square meters,USA semi equipped,4,2,No,135  m²  square meters,40  m²  square meters,"€ 585,000  585000 €",,R Auderghem Boitsfort,
9026,To be done up,2,141  m² square meters,Not installed,3,2,No,580  m²  square meters,500  m²  square meters,"Make an offer starting from  € 149,000  Make an offer starting from  149000 €",No,,
9027,Good,2,221  m² square meters,Installed,4,2,,250  m²  square meters,,"€ 440,000  440000 €",,,Yes
9028,To renovate,2,133  m² square meters,,3,1,,299  m²  square meters,139  m²  square meters,"€ 224,000  224000 €",,,
9029,To renovate,4,165  m² square meters,,3,1,No,209  m²  square meters,,"€ 160,000  160000 €",,,Yes
9030,As new,3,176  m² square meters,Hyper equipped,4,,No,240  m²  square meters,60  m²  square meters,"€ 469,000  469000 €",,,
9031,Good,4,400  m² square meters,USA hyper equipped,4,4,No,1400  m²  square meters,700  m²  square meters,"€ 3,450,000  3450000 €",No,,
9032,To renovate,2,85  m² square meters,Semi equipped,3,1,,77  m²  square meters,,"€ 110,000  110000 €",,,
9033,As new,2,292  m² square meters,USA hyper equipped,5,1,No,210  m²  square meters,85  m²  square meters,"€ 835,000  835000 €",No,Projets Bruxelles Sud,
9034,As new,4,165  m² square meters,Installed,3,1,,890  m²  square meters,,"€ 299,000  299000 €",,,
9035,To be done up,3,,,4,3,,916  m²  square meters,500  m²  square meters,"€ 245,000  245000 €",,,
9036,To be done up,4,124  m² square meters,Semi equipped,3,1,,792  m²  square meters,,"€ 375,000  375000 €",,,Yes
9037,Good,2,180  m² square meters,Installed,6,3,No,295  m²  square meters,88  m²  square meters,"€ 165,000  165000 €",No,Liège,
9038,Good,,265  m² square meters,Installed,3,1,,76  m²  square meters,,"€ 210,000  210000 €",,,
9039,,2,130  m² square meters,Semi equipped,2,1,,120  m²  square meters,,"€ 399,000  399000 €",,,
9040,Good,2,252  m² square meters,,2,2,No,125  m²  square meters,,"€ 550,000  550000 €",No,,
9041,To renovate,,170  m² square meters,Not installed,5,1,No,530  m²  square meters,,"€ 385,000  385000 €",,,
9042,Just renovated,3,1016  m² square meters,Installed,17,13,No,362  m²  square meters,,"Make an offer starting from  € 2,690,000  Make an offer starting from  2690000 €",No,Liège environs,
9043,To renovate,2,101  m² square meters,Semi equipped,2,,No,87  m²  square meters,,"€ 99,000  99000 €",,,Yes
9044,To renovate,4,186  m² square meters,Semi equipped,2,1,,1633  m²  square meters,1481  m²  square meters,"Make an offer starting from  € 169,000  Make an offer starting from  169000 €",,,
9045,Good,3,125  m² square meters,Installed,2,1,,1440  m²  square meters,1337  m²  square meters,"Make an offer starting from  € 249,500  Make an offer starting from  249500 €",,,
9046,As new,4,603  m² square meters,USA hyper equipped,8,5,No,2512  m²  square meters,2140  m²  square meters,"€ 1,765,000  1765000 €",Yes,,
9047,Good,4,220  m² square meters,Hyper equipped,3,1,No,910  m²  square meters,1  m²  square meter,"€ 599,999  599999 €",No,,
9048,As new,4,175  m² square meters,Hyper equipped,3,1,No,530  m²  square meters,276  m²  square meters,"€ 425,000  425000 €",,,
9049,Good,4,150  m² square meters,Hyper equipped,3,1,No,706  m²  square meters,,"€ 570,000  570000 €",,,Yes
9050,Good,,1000  m² square meters,Installed,12,11,Yes,570  m²  square meters,,"€ 1,750,000  1750000 €",,,
9051,As new,3,178  m² square meters,,1,1,,158  m²  square meters,,"€ 549,000  549000 €",,,Yes
9052,To renovate,2,243  m² square meters,,1,1,No,201  m²  square meters,107  m²  square meters,"€ 199,000  199000 €",,EUPEN - LONTZEN,
9053,As new,4,520  m² square meters,Hyper equipped,6,4,No,3400  m²  square meters,,"€ 3,100,000  3100000 €",No,,
9054,,2,145  m² square meters,Installed,3,1,,243  m²  square meters,50  m²  square meters,"€ 445,000  445000 €",,,
9055,To renovate,2,348  m² square meters,,3,3,,1015  m²  square meters,775  m²  square meters,"€ 350,000  350000 €",,,
9056,Good,4,321  m² square meters,Installed,4,2,,3005  m²  square meters,,"€ 749,000  749000 €",,,
9057,Good,2,269  m² square meters,Installed,5,2,,402  m²  square meters,250  m²  square meters,"€ 384,000  384000 €",,,
9058,As new,3,220  m² square meters,Hyper equipped,4,1,,1000  m²  square meters,1000  m²  square meters,"€ 780,000  780000 €",No,,
9059,Good,4,402  m² square meters,,5,2,,3322  m²  square meters,2800  m²  square meters,"€ 1,195,000  1195000 €",Yes,,
9060,As new,4,90  m² square meters,USA installed,2,1,No,273  m²  square meters,40  m²  square meters,"€ 300,000  300000 €",,,
9061,To be done up,,160  m² square meters,Installed,3,1,,338  m²  square meters,,"€ 299,000  299000 €",No,,
9062,As new,4,220  m² square meters,Hyper equipped,3,1,,961  m²  square meters,,"€ 890,000  890000 €",,,
9063,,3,136  m² square meters,Installed,3,1,No,263  m²  square meters,177  m²  square meters,"€ 535,000  535000 €",No,Gent en omstreken,Yes
9064,Good,2,270  m² square meters,USA hyper equipped,4,3,No,130  m²  square meters,,"€ 925,000  925000 €",,R Woluwe,
9065,Good,,,Installed,5,,No,212  m²  square meters,,"€ 465,000  465000 €",,,
9066,To renovate,2,160  m² square meters,Semi equipped,2,1,,130  m²  square meters,,"€ 99,000  99000 €",,,Yes
9067,Good,3,198  m² square meters,Semi equipped,3,1,,112  m²  square meters,,"€ 260,000  260000 €",,,Yes
9068,As new,4,192  m² square meters,Installed,3,1,,506  m²  square meters,,"Make an offer starting from  € 495,000  Make an offer starting from  495000 €",,,Yes
9069,Just renovated,2,174  m² square meters,Hyper equipped,4,3,,303  m²  square meters,210  m²  square meters,"Make an offer starting from  € 525,000  Make an offer starting from  525000 €",No,,
9070,As new,3,183  m² square meters,Hyper equipped,4,3,No,660  m²  square meters,,"€ 1,250,000  1250000 €",,,Yes
9072,To be done up,2,106  m² square meters,Installed,3,1,,264  m²  square meters,,"€ 245,000  245000 €",,,
9073,Good,2,152  m² square meters,Installed,3,1,,190  m²  square meters,,"Make an offer starting from  € 195,000  Make an offer starting from  195000 €",No,,Yes
9074,Good,4,180  m² square meters,Semi equipped,3,3,,270  m²  square meters,50  m²  square meters,"€ 235,000  235000 €",,,
9075,Good,4,150  m² square meters,Installed,3,1,No,659  m²  square meters,500  m²  square meters,"€ 480,000  480000 €",No,Brabant Wallon,Yes
9076,As new,,140  m² square meters,Hyper equipped,3,1,No,227  m²  square meters,,"€ 389,000  389000 €",No,,
9077,To renovate,4,70  m² square meters,,1,,,200  m²  square meters,130  m²  square meters,"€ 70,000  70000 €",,,
9078,As new,2,308  m² square meters,,5,3,,191  m²  square meters,77  m²  square meters,"€ 1,250,000  1250000 €",,Antwerpen,
9079,As new,2,220  m² square meters,USA semi equipped,4,1,No,210  m²  square meters,117  m²  square meters,"€ 845,000  845000 €",No,Est de Bruxelles + VL,
9080,As new,3,424  m² square meters,Hyper equipped,6,3,No,1020  m²  square meters,,"€ 1,480,000  1480000 €",,Bruxelles Est,
9081,To be done up,2,141  m² square meters,Semi equipped,3,1,,362  m²  square meters,,"€ 325,000  325000 €",,,Yes
9082,,,221  m² square meters,Installed,4,1,,790  m²  square meters,,"€ 495,000  495000 €",No,,Yes
9083,To renovate,2,118  m² square meters,,4,1,No,56  m²  square meters,,"€ 249,000  249000 €",,,
9084,,,180  m² square meters,Installed,3,,,74  m²  square meters,,"€ 210,000  210000 €",,,
9085,As new,3,196  m² square meters,USA hyper equipped,4,2,No,209  m²  square meters,40  m²  square meters,"€ 575,000  575000 €",No,Bruxelles Est,
9086,To be done up,4,160  m² square meters,Semi equipped,3,1,,1199  m²  square meters,1075  m²  square meters,"Make an offer starting from  € 285,000  Make an offer starting from  285000 €",,,
9087,As new,,125  m² square meters,USA hyper equipped,4,1,No,315  m²  square meters,,"€ 340,000  340000 €",No,,Yes
9088,To renovate,3,189  m² square meters,,3,1,No,680  m²  square meters,,"€ 259,000  259000 €",,,
9089,,3,125  m² square meters,Installed,3,1,No,666  m²  square meters,596  m²  square meters,"€ 369,000  369000 €",No,,
9090,Good,2,150  m² square meters,Installed,3,1,,500  m²  square meters,375  m²  square meters,"€ 350,000  350000 €",No,,
9091,Good,4,170  m² square meters,Installed,3,1,No,1700  m²  square meters,1500  m²  square meters,"Make an offer starting from  € 329,000  Make an offer starting from  329000 €",,,
9092,Good,2,125  m² square meters,Semi equipped,3,1,,465  m²  square meters,355  m²  square meters,"€ 260,000  260000 €",,Namur Arrondissement,Yes
9093,Just renovated,,253  m² square meters,Installed,5,1,No,1492  m²  square meters,,"€ 449,000  449000 €",No,,Yes
9094,,4,500  m² square meters,Hyper equipped,7,7,,10550  m²  square meters,10200  m²  square meters,"€ 1,750,000  1750000 €",Yes,,
9095,Good,2,1425  m² square meters,Installed,1,3,No,500  m²  square meters,100  m²  square meters,"€ 3,200,000  3200000 €",No,,
9096,Good,4,170  m² square meters,USA hyper equipped,3,1,No,684  m²  square meters,500  m²  square meters,"€ 570,000  570000 €",,,
9097,To renovate,2,155  m² square meters,Semi equipped,4,1,,631  m²  square meters,,"Make an offer starting from  € 179,000  Make an offer starting from  179000 €",,,Yes
9098,As new,4,520  m² square meters,Hyper equipped,6,3,Yes,1415  m²  square meters,1415  m²  square meters,"€ 8,500,000  8500000 €",No,1 ZOUTE,Yes
9099,To be done up,2,165  m² square meters,Installed,4,1,,200  m²  square meters,,"€ 189,000  189000 €",,,
9100,,4,155  m² square meters,Hyper equipped,3,1,No,483  m²  square meters,,"€ 525,000  525000 €",,,
9101,,3,210  m² square meters,Installed,3,1,,294  m²  square meters,,"€ 468,000  468000 €",,,Yes
9102,As new,,197  m² square meters,USA installed,3,1,No,8839  m²  square meters,,"€ 699,000  699000 €",No,,Yes
9103,Good,2,330  m² square meters,Installed,7,5,No,122  m²  square meters,,"€ 595,000  595000 €",No,Bruxelles (19 communes),
9104,Good,3,175  m² square meters,Semi equipped,2,2,Yes,110  m²  square meters,,"Make an offer starting from  € 210,000  Make an offer starting from  210000 €",No,,
9105,Just renovated,3,480  m² square meters,Installed,4,4,No,649  m²  square meters,649  m²  square meters,"€ 599,000  599000 €",,,Yes
9106,Good,2,184  m² square meters,Installed,4,1,,,,"€ 595,000  595000 €",,,
9107,Just renovated,4,398  m² square meters,USA hyper equipped,4,2,No,883  m²  square meters,,"€ 2,195,000  2195000 €",Yes,,Yes
9108,,3,178  m² square meters,Installed,3,1,,,,"€ 415,000  415000 €",,,Yes
9109,As new,2,210  m² square meters,Hyper equipped,3,1,,176  m²  square meters,55  m²  square meters,"€ 478,000  478000 €",,,
9110,Good,3,369  m² square meters,,5,2,No,528  m²  square meters,,"€ 1,190,000  1190000 €",No,,Yes
9111,To be done up,2,250  m² square meters,Semi equipped,7,2,,175  m²  square meters,54  m²  square meters,"€ 425,000  425000 €",,,
9112,Good,2,70  m² square meters,Semi equipped,1,1,No,22  m²  square meters,,"€ 139,000  139000 €",No,Liège,
9113,Good,4,185  m² square meters,Installed,4,1,,940  m²  square meters,,"€ 465,000  465000 €",,,Yes
9114,Just renovated,2,170  m² square meters,,3,1,,306  m²  square meters,226  m²  square meters,"€ 449,000  449000 €",No,,
9115,To renovate,3,148  m² square meters,Semi equipped,4,2,No,220  m²  square meters,37  m²  square meters,"Make an offer starting from  € 149,000  Make an offer starting from  149000 €",No,,
9116,As new,,100  m² square meters,,2,1,,125  m²  square meters,,"€ 278,000  278000 €",,,
9117,Good,2,262  m² square meters,USA hyper equipped,6,1,,366  m²  square meters,270  m²  square meters,"€ 865,000  865000 €",No,,
9118,,3,90  m² square meters,Installed,3,1,,304  m²  square meters,,"€ 249,000  249000 €",,,Yes
9119,,2,230  m² square meters,,4,3,No,122  m²  square meters,,"€ 180,000  180000 €",No,,
9120,Just renovated,4,722  m² square meters,,,,,398  m²  square meters,,"€ 1,930,000  1930000 €",No,,
9121,As new,4,286  m² square meters,Hyper equipped,3,2,,1098  m²  square meters,,"€ 649,000  649000 €",No,,Yes
9122,As new,,265  m² square meters,Hyper equipped,4,1,No,2187  m²  square meters,,"€ 850,000  850000 €",No,,
9123,,2,185  m² square meters,,5,5,,60  m²  square meters,,"€ 410,000  410000 €",,,
9124,As new,,150  m² square meters,Hyper equipped,3,,No,1292  m²  square meters,800  m²  square meters,"€ 399,000  399000 €",,,
9125,Good,3,260  m² square meters,,4,1,No,2952  m²  square meters,,"€ 399,000  399000 €",No,,Yes
9127,Good,4,150  m² square meters,Installed,3,2,No,580  m²  square meters,415  m²  square meters,"€ 397,000  397000 €",,,
9128,,,226  m² square meters,Installed,6,1,,96  m²  square meters,,"Make an offer starting from  € 630,000  Make an offer starting from  630000 €",,,
9129,,2,130  m² square meters,,3,,,110  m²  square meters,,"€ 260,000  260000 €",,,
9130,To renovate,3,131  m² square meters,,3,1,,290  m²  square meters,,"€ 150,000  150000 €",,,
9131,As new,2,405  m² square meters,USA hyper equipped,7,2,No,,120  m²  square meters,"€ 1,590,000  1590000 €",No,,
9133,Good,2,95  m² square meters,Installed,3,1,No,40  m²  square meters,,"€ 159,000  159000 €",,,
9134,As new,3,,Installed,4,2,,1200  m²  square meters,1000  m²  square meters,"€ 320,000  320000 €",No,,
9135,To be done up,3,180  m² square meters,Installed,3,1,,150  m²  square meters,55  m²  square meters,"€ 240,000  240000 €",,,
9136,To renovate,,275  m² square meters,,4,,,4269  m²  square meters,,"€ 1,295,000  1295000 €",,,Yes
9137,Just renovated,,,Hyper equipped,5,1,,385  m²  square meters,,"€ 489,000  489000 €",,,Yes
9138,Good,3,166  m² square meters,Installed,3,1,No,402  m²  square meters,250  m²  square meters,"€ 279,000  279000 €",,,
9139,Good,3,330  m² square meters,,5,,No,1027  m²  square meters,,"€ 499,000  499000 €",,,Yes
9140,To renovate,2,210  m² square meters,,5,1,No,130  m²  square meters,40  m²  square meters,"€ 400,000  400000 €",No,,
9141,Good,4,246  m² square meters,,6,1,,1002  m²  square meters,842  m²  square meters,"€ 415,000  415000 €",,,
9142,As new,4,222  m² square meters,Hyper equipped,5,1,No,933  m²  square meters,832  m²  square meters,"€ 539,000  539000 €",No,Hannut,
9143,,2,126  m² square meters,Installed,3,1,No,111  m²  square meters,,"€ 274,000  274000 €",No,,Yes
9144,Good,,250  m² square meters,Installed,2,1,,12000  m²  square meters,,"€ 1,350,000  1350000 €",,,
9145,Good,2,187  m² square meters,Installed,3,1,,193  m²  square meters,43  m²  square meters,"€ 289,000  289000 €",,,Yes
9146,Good,2,323  m² square meters,Not installed,6,3,,305  m²  square meters,211  m²  square meters,"€ 635,000  635000 €",,,
9147,,,247  m² square meters,Installed,3,1,,317  m²  square meters,,"€ 389,000  389000 €",,,Yes
9148,Good,3,180  m² square meters,Installed,3,1,No,233  m²  square meters,55  m²  square meters,"€ 335,000  335000 €",,,
9149,As new,3,278  m² square meters,Hyper equipped,3,2,,495  m²  square meters,410  m²  square meters,"€ 795,000  795000 €",No,,
9150,As new,,120  m² square meters,Installed,3,1,No,120  m²  square meters,189  m²  square meters,"€ 339,990  339990 €",No,,
9151,To renovate,4,223  m² square meters,,6,1,No,900  m²  square meters,,"€ 490,000  490000 €",No,,
9152,As new,4,175  m² square meters,Hyper equipped,3,1,,799  m²  square meters,,"€ 565,000  565000 €",,,
9153,,4,186  m² square meters,Not installed,3,1,No,2281  m²  square meters,,"€ 410,000  410000 €",,"Aywaille, Awan, Harzé, Remou",Yes
9154,,3,172  m² square meters,Installed,3,1,,422  m²  square meters,336  m²  square meters,"€ 345,000  345000 €",,,
9155,To be done up,3,174  m² square meters,Semi equipped,3,1,,365  m²  square meters,,"€ 299,000  299000 €",,,Yes
9156,As new,,614  m² square meters,,6,5,No,17  m²  square meters,,"€ 3,650,000  3650000 €",Yes,,
9157,As new,3,100  m² square meters,Installed,2,1,No,400  m²  square meters,300  m²  square meters,"€ 245,000  245000 €",No,Zone Province de Liège,
9158,Good,2,76  m² square meters,Installed,2,1,,76  m²  square meters,,"€ 174,000  174000 €",,Nieuw Borgerhout,
9159,Good,4,200  m² square meters,Semi equipped,4,1,,250  m²  square meters,70  m²  square meters,"Make an offer starting from  € 259,000  Make an offer starting from  259000 €",,,
9160,To be done up,2,110  m² square meters,Installed,4,1,No,210  m²  square meters,40  m²  square meters,"€ 169,000  169000 €",No,Grand Liège,
9161,As new,3,192  m² square meters,Hyper equipped,3,1,No,392  m²  square meters,,"€ 393,500  393500 €",,Dorp,
9162,Good,3,90  m² square meters,Semi equipped,2,1,No,84  m²  square meters,,"€ 149,000  149000 €",,,Yes
9163,Good,2,278  m² square meters,Installed,4,2,No,165  m²  square meters,,"€ 385,000  385000 €",No,,Yes
9164,As new,4,385  m² square meters,Hyper equipped,4,2,,1534  m²  square meters,,"€ 972,000  972000 €",Yes,,
9165,To renovate,2,140  m² square meters,Semi equipped,3,1,No,69  m²  square meters,,"€ 129,000  129000 €",,Famenne - Ardennes,
9166,Good,,248  m² square meters,Installed,3,,No,646  m²  square meters,,"€ 300,000  300000 €",,,
9167,,3,,,4,1,,124  m²  square meters,47  m²  square meters,"€ 250,000  250000 €",,,
9168,Good,,152  m² square meters,Semi equipped,2,1,,2394  m²  square meters,2250  m²  square meters,"€ 269,000  269000 €",,,
9169,As new,4,110  m² square meters,Installed,2,1,,530  m²  square meters,250  m²  square meters,"€ 395,000  395000 €",,,
9170,As new,2,221  m² square meters,Hyper equipped,4,2,,280  m²  square meters,136  m²  square meters,"€ 499,000  499000 €",No,,
9171,Good,3,230  m² square meters,Hyper equipped,3,1,,370  m²  square meters,150  m²  square meters,"€ 359,000  359000 €",,Oost- Vlaanderen,
9172,Good,4,274  m² square meters,Installed,4,1,No,1186  m²  square meters,952  m²  square meters,"€ 419,500  419500 €",No,,
9173,To renovate,2,155  m² square meters,Semi equipped,2,1,No,150  m²  square meters,50  m²  square meters,"€ 149,000  149000 €",No,,
9174,As new,3,155  m² square meters,Hyper equipped,3,,No,332  m²  square meters,,"€ 380,000  380000 €",,,
9175,Good,1,132  m² square meters,Installed,2,1,,296  m²  square meters,214  m²  square meters,"€ 345,000  345000 €",,,
9177,To be done up,4,308  m² square meters,,6,3,,700  m²  square meters,,"€ 698,000  698000 €",,Antwerpen,Yes
9178,As new,4,210  m² square meters,Hyper equipped,4,2,,744  m²  square meters,500  m²  square meters,"€ 548,000  548000 €",No,,
9179,To be done up,,87  m² square meters,Semi equipped,2,,No,90  m²  square meters,,"€ 149,000  149000 €",,,Yes
9180,Good,,150  m² square meters,,2,,,120  m²  square meters,,"€ 155,000  155000 €",,,
9181,Good,3,137  m² square meters,Installed,1,1,,490  m²  square meters,,,,,
9182,To renovate,2,123  m² square meters,Semi equipped,2,,No,130  m²  square meters,,"€ 95,000  95000 €",,,
9183,As new,3,177  m² square meters,Hyper equipped,3,1,No,,250  m²  square meters,"€ 450,000  450000 €",,GENAPPE et environs,
9184,Good,2,220  m² square meters,Semi equipped,7,4,No,13  m²  square meters,37  m²  square meters,"€ 600,000  600000 €",No,Brussel,
9185,Good,4,130  m² square meters,,3,1,No,2215  m²  square meters,,"Make an offer starting from  € 219,000  Make an offer starting from  219000 €",No,,
9186,Good,4,150  m² square meters,Installed,3,1,,954  m²  square meters,686  m²  square meters,"€ 349,000  349000 €",,,
9187,,3,158  m² square meters,Installed,3,1,,1800  m²  square meters,,"€ 250,000  250000 €",,,Yes
9188,Good,1,458  m² square meters,,6,2,No,1091  m²  square meters,,"€ 550,000  550000 €",,,
9189,To renovate,4,195  m² square meters,,3,1,No,897  m²  square meters,345  m²  square meters,"€ 399,000  399000 €",,,
9190,,3,229  m² square meters,Installed,3,1,,663  m²  square meters,320  m²  square meters,"€ 397,000  397000 €",,,
9191,As new,4,187  m² square meters,,4,2,No,1234  m²  square meters,906  m²  square meters,"Make an offer starting from  € 599,000  Make an offer starting from  599000 €",,,
9192,Good,2,,,3,3,,162  m²  square meters,,"€ 550,000  550000 €",No,,Yes
9193,Good,,231  m² square meters,Installed,4,3,,,,"€ 1,090,000  1090000 €",,,
9194,Good,2,420  m² square meters,Installed,7,5,No,421  m²  square meters,421  m²  square meters,"€ 1,150,000  1150000 €",,,
9195,As new,4,240  m² square meters,Installed,5,2,,341  m²  square meters,,"€ 490,500  490500 €",,,
9196,To be done up,4,213  m² square meters,Installed,4,1,,1048  m²  square meters,800  m²  square meters,"Make an offer starting from  € 449,000  Make an offer starting from  449000 €",,,
9197,Good,4,215  m² square meters,Hyper equipped,5,2,No,1240  m²  square meters,730  m²  square meters,"Make an offer starting from  € 399,000  Make an offer starting from  399000 €",No,Liège,
9198,As new,2,152  m² square meters,Installed,3,1,,268  m²  square meters,104  m²  square meters,"€ 364,000  364000 €",No,,
9199,As new,3,330  m² square meters,Hyper equipped,5,3,,524  m²  square meters,,"€ 1,050,000  1050000 €",No,,Yes
9200,As new,4,145  m² square meters,Hyper equipped,5,,,858  m²  square meters,650  m²  square meters,"Make an offer starting from  € 500,000  Make an offer starting from  500000 €",,,
9201,To renovate,2,350  m² square meters,Semi equipped,6,3,No,256  m²  square meters,100  m²  square meters,"€ 780,000  780000 €",No,,
9202,Good,2,83  m² square meters,,2,1,No,82  m²  square meters,,"€ 139,000  139000 €",,,
9203,To renovate,4,125  m² square meters,Installed,4,1,No,401  m²  square meters,400  m²  square meters,"€ 195,000  195000 €",,"Trooz, Nessonvaux, Fraipont",
9204,To renovate,,,,2,1,,150  m²  square meters,,"€ 110,000  110000 €",,,
9205,,4,520  m² square meters,USA hyper equipped,5,3,,3250  m²  square meters,,"€ 1,295,000  1295000 €",,,
9206,,3,157  m² square meters,USA hyper equipped,4,2,,,,"€ 546,000  546000 €",,Bruxelles Est,
9207,To be done up,4,225  m² square meters,Semi equipped,3,1,,1606  m²  square meters,,"€ 465,000  465000 €",,,Yes
9208,Just renovated,,650  m² square meters,USA hyper equipped,5,2,,225  m²  square meters,,"€ 1,245,000  1245000 €",No,,
9209,Good,2,323  m² square meters,USA hyper equipped,8,3,No,100  m²  square meters,,"€ 650,000  650000 €",Yes,Bruxelles Est,
9210,Just renovated,4,459  m² square meters,Installed,7,4,,3529  m²  square meters,3000  m²  square meters,"€ 1,650,000  1650000 €",Yes,,
9211,As new,3,200  m² square meters,,3,1,,248  m²  square meters,,"€ 447,500  447500 €",,Coppietersbos,Yes
9212,To be done up,3,178  m² square meters,Hyper equipped,4,2,No,260  m²  square meters,140  m²  square meters,"€ 725,000  725000 €",No,,
9213,To be done up,3,,Installed,3,1,No,561  m²  square meters,,"€ 375,000  375000 €",,,Yes
9214,Good,3,163  m² square meters,Installed,4,1,No,633  m²  square meters,35  m²  square meters,"€ 349,000  349000 €",No,,
9215,,2,325  m² square meters,,4,4,No,210  m²  square meters,100  m²  square meters,"€ 1,090,000  1090000 €",No,,
9216,As new,4,138  m² square meters,Installed,2,1,No,885  m²  square meters,,"Make an offer starting from  € 319,000  Make an offer starting from  319000 €",,,Yes
9217,As new,3,170  m² square meters,Installed,3,1,No,471  m²  square meters,230  m²  square meters,"€ 310,000  310000 €",,,
9218,To be done up,2,99  m² square meters,Semi equipped,2,1,No,210  m²  square meters,148  m²  square meters,"€ 149,000  149000 €",No,,
9219,Good,3,215  m² square meters,Installed,4,1,,709  m²  square meters,530  m²  square meters,"Make an offer starting from  € 229,000  Make an offer starting from  229000 €",,,
9220,Just renovated,2,289  m² square meters,,4,1,,98  m²  square meters,,"€ 579,000  579000 €",,,
9221,To restore,2,185  m² square meters,Semi equipped,3,1,No,410  m²  square meters,63  m²  square meters,"€ 180,000  180000 €",,,
9222,Good,4,252  m² square meters,Semi equipped,6,1,,5480  m²  square meters,,"Make an offer starting from  € 325,000  Make an offer starting from  325000 €",,,
9223,To be done up,2,194  m² square meters,Not installed,4,1,,97  m²  square meters,,"€ 185,000  185000 €",No,,
9224,,2,230  m² square meters,,3,1,,161  m²  square meters,32  m²  square meters,"€ 347,000  347000 €",,,
9225,To renovate,2,152  m² square meters,Semi equipped,3,1,,122  m²  square meters,,"€ 260,000  260000 €",,,
9226,,4,224  m² square meters,Installed,5,2,,846  m²  square meters,,"€ 595,000  595000 €",Yes,,Yes
9227,Good,3,348  m² square meters,Installed,5,2,No,1102  m²  square meters,,"€ 395,000  395000 €",No,Zone Nord Province du Luxembourg,Yes
9229,Good,4,,USA hyper equipped,4,3,,1650  m²  square meters,,"€ 1,350,000  1350000 €",No,,Yes
9230,To be done up,4,900  m² square meters,Installed,10,6,No,13081  m²  square meters,12631  m²  square meters,"Make an offer starting from  € 499,000  Make an offer starting from  499000 €",No,,
9231,As new,,245  m² square meters,Installed,4,1,,990  m²  square meters,,"€ 480,000  480000 €",No,,
9232,To be done up,2,150  m² square meters,,3,1,No,50  m²  square meters,,"€ 219,000  219000 €",,,
9233,Good,,325  m² square meters,Hyper equipped,4,,No,685  m²  square meters,,"€ 595,000  595000 €",Yes,,Yes
9234,To be done up,2,235  m² square meters,Semi equipped,,6,No,,,"Make an offer starting from  € 295,000  Make an offer starting from  295000 €",No,,
9235,As new,,140  m² square meters,Installed,3,1,No,60  m²  square meters,,"€ 429,000  429000 €",,,Yes
9236,Just renovated,2,138  m² square meters,Installed,4,1,,138  m²  square meters,59  m²  square meters,"€ 344,000  344000 €",No,,
9237,To renovate,3,137  m² square meters,USA semi equipped,2,1,,1444  m²  square meters,1238  m²  square meters,"€ 220,000  220000 €",,,
9238,Good,2,100  m² square meters,Installed,2,1,No,306  m²  square meters,190  m²  square meters,"€ 179,500  179500 €",No,Liège,
9239,As new,2,150  m² square meters,Installed,3,2,No,54  m²  square meters,,"€ 395,000  395000 €",,,
9240,As new,4,285  m² square meters,,3,1,,1658  m²  square meters,,"€ 920,000  920000 €",,,
9241,Good,4,360  m² square meters,Installed,4,3,,6159  m²  square meters,,"€ 690,000  690000 €",,,Yes
9242,,3,262  m² square meters,,4,1,,600  m²  square meters,,"€ 475,000  475000 €",,,Yes
9243,To be done up,4,170  m² square meters,Semi equipped,3,1,,744  m²  square meters,,"€ 295,000  295000 €",,,Yes
9244,To be done up,4,,Semi equipped,4,2,No,683  m²  square meters,300  m²  square meters,"€ 319,000  319000 €",,Zone Centre Province du Luxembourg,
9245,,2,100  m² square meters,Not installed,3,2,No,500  m²  square meters,500  m²  square meters,"€ 119,000  119000 €",No,Zone Centre Province du Luxembourg,
9246,To be done up,2,210  m² square meters,,6,1,,344  m²  square meters,259  m²  square meters,"€ 499,000  499000 €",,,
9247,To renovate,4,168  m² square meters,,5,,,2633  m²  square meters,2247  m²  square meters,"€ 299,000  299000 €",,,
9248,Good,4,213  m² square meters,Installed,3,1,,769  m²  square meters,,"€ 670,000  670000 €",,,
9249,Good,3,181  m² square meters,Installed,3,1,,1060  m²  square meters,600  m²  square meters,"€ 460,000  460000 €",,,Yes
9250,To be done up,3,261  m² square meters,Installed,3,1,,,,"€ 435,000  435000 €",,,Yes
9251,Good,,224  m² square meters,Installed,3,,No,250  m²  square meters,70  m²  square meters,"€ 395,000  395000 €",,,
9252,As new,2,206  m² square meters,USA hyper equipped,4,4,No,,,"Make an offer starting from  € 625,000  Make an offer starting from  625000 €",No,,
9253,To be done up,2,245  m² square meters,Installed,5,3,No,140  m²  square meters,32  m²  square meters,"€ 465,000  465000 €",,Bruxelles (19 communes),
