,Building condition,Number of frontages,Living area,Kitchen type,Bedrooms,Bathrooms,Furnished,Surface of the plot,Terrace,Swimming pool,Price,Type of Property,Subtype of Property,Type of Sale,Neighbourhood or locality,Garden surface
459,Just renovated,2,110,Installed,3,1,None,124,None,None,"€ 535,000  535000 €",house,house,for sale,None,None
460,To renovate,3,123,Not installed,4,1,0.0,60,None,0.0,"Make an offer starting from  € 99,000  Make an offer starting from  99000 €",house,house,for sale,Liège environs,None
461,Good,2,145,Installed,3,1,None,207,None,None,"€ 399,000  399000 €",house,house,for sale,Nieuw Borgerhout,115
462,Good,4,122,Semi equipped,3,1,0.0,3408,None,1.0,"€ 525,000  525000 €",house,house,for sale,Grand Liège,3100
463,To be done up,2,116,Semi equipped,3,1,None,90,None,0.0,"Make an offer starting from  € 95,000  Make an offer starting from  95000 €",house,house,for sale,None,None
464,Good,3,157,Installed,3,1,None,227,1.0,0.0,"€ 385,000  385000 €",house,town house,for sale,None,None
465,Good,2,239,Not installed,4,4,0.0,108,None,0.0,"Make an offer starting from  € 299,000  Make an offer starting from  299000 €",house,apartment block,for sale,Liège environs,None
466,To be done up,4,100,Installed,2,1,None,489,None,None,"Make an offer starting from  € 249,000  Make an offer starting from  249000 €",house,house,for sale,None,None
467,Good,3,180,Hyper equipped,3,1,0.0,154,None,0.0,"€ 425,000  425000 €",house,house,for sale,Bruxelles-Ouest,70
468,Good,3,172,Installed,3,2,0.0,204,None,0.0,"Make an offer starting from  € 229,000  Make an offer starting from  229000 €",house,house,for sale,Liège environs,None
469,Good,3,212,Installed,3,1,None,791,None,None,"Make an offer starting from  € 369,000  Make an offer starting from  369000 €",house,house,for sale,None,589
470,Good,3,243,Installed,3,1,None,990,1.0,None,"€ 385,000  385000 €",house,house,for sale,None,878
